arm,well,point,real_min,real_max
A,16/4-1,-0.03740228505975254,-0.061678934215735226,0.014296016906152065
A,25/2-14,0.0028888403593810563,-0.028090538362332163,0.0337446801894441
A,30/6-5,-0.07254488823912911,-0.09037999669378943,-0.03672814272278946
A,15/9-15,-0.045221582473428265,-0.06485408721928465,-0.025943191540975963
A,25/8-5 S,-0.03949610226648749,-0.058599069278308547,-0.006939860643257745
A,16/1-6 A,-0.15743346431496572,-0.19931673479407497,-0.11284884784676213
A,34/5-1 S,0.00897477756480819,-0.018658397629262358,0.042433313841733544
A,34/7-13,0.0014370741419885646,-0.07237412002009491,0.08042459099043858
B-linear,16/4-1,-0.0867274261473858,-0.10599239622160075,-0.05553456017285879
B-linear,25/2-14,-0.011307789407608532,-0.04975527777287436,0.006448366654489723
B-linear,30/6-5,-0.09293175597539524,-0.10437066078507476,-0.0848990377250573
B-linear,15/9-15,-0.07973579275474318,-0.12075975694889426,-0.06377739127851384
B-linear,25/8-5 S,-0.08689833424685921,-0.11296209668340024,-0.06716749320585919
B-linear,16/1-6 A,-0.11572472286917897,-0.14614701297931842,-0.07748301871409313
B-linear,34/5-1 S,-0.0062451961062037434,-0.03794996934746597,0.022577470198193228
B-linear,34/7-13,-0.053164696878493165,-0.09194582048811753,-0.03048246875954777
B-abs,16/4-1,-0.027017013482687723,-0.03842740983589571,-0.009988999448499625
B-abs,25/2-14,0.03076418383050772,0.006163775050342601,0.06802725077701471
B-abs,30/6-5,-0.05546526088125638,-0.07895196875184768,-0.03574112184046424
B-abs,15/9-15,-0.06500147732258908,-0.11696793271263514,-0.03067465958600868
B-abs,25/8-5 S,-0.06625163889095716,-0.08834923932547784,-0.04699351201464502
B-abs,16/1-6 A,-0.11754197219162923,-0.143124047071451,-0.09371234318607113
B-abs,34/5-1 S,0.01989205975803221,-0.004850347996368964,0.049824363846384
B-abs,34/7-13,0.00876837502112467,-0.031555695204289386,0.0714352728091317
B2,16/4-1,-0.014900934762125118,-0.05056548750341078,0.013345160243327714
B2,25/2-14,-0.015057668591285267,-0.03295408510083017,0.005428439904531512
B2,30/6-5,-0.05845339917293994,-0.09491263645248982,-0.02224047723385153
B2,15/9-15,-0.01329078305973629,-0.07222958223002413,0.03433657793103523
B2,25/8-5 S,-0.03999431351281506,-0.08864070701745269,0.02606812407934961
B2,16/1-6 A,-0.1554745332812244,-0.1881455074816299,-0.09528408838149288
B2,34/5-1 S,-0.030428023991686433,-0.06524258557399248,0.011473016208976006
B2,34/7-13,-0.030458761535794132,-0.07878946422169639,0.005511822240329367
C,16/4-1,-0.03238886885722453,-0.03238886885722453,-0.03238886885722453
C,25/2-14,0.0101513607394077,0.0101513607394077,0.0101513607394077
C,30/6-5,0.11970612580403421,0.11970612580403422,0.11970612580403422
C,15/9-15,0.11921263835286411,0.11921263835286411,0.11921263835286411
C,25/8-5 S,0.06571806852094664,0.06571806852094664,0.06571806852094664
C,16/1-6 A,-0.01599966443928591,-0.01599966443928591,-0.01599966443928591
C,34/5-1 S,0.029237621544794923,0.029237621544794923,0.029237621544794923
C,34/7-13,-0.030172276473088983,-0.030172276473088983,-0.030172276473088983
