bin_center_m,n,real_mean,A_mean,B-linear_mean,B-abs_mean,B2_mean,C_mean
1360.6686138025,1488,0.4504120659516801,0.34347561373505536,0.3423662368488568,0.3571523269998932,0.3967182908247235,0.3629381737962205
1490.7546336075,1712,0.45321422470624995,0.2878807454396074,0.320444275675533,0.3384565712797029,0.35304755633435797,0.37202886378862593
1620.8406534125,2717,0.5024857180038645,0.32608273407861854,0.3328523969667818,0.3603970677088322,0.3448062818992388,0.4293758900651697
1750.9266732175,3576,0.5610470128657158,0.34245324549692324,0.2895339479865777,0.32577325514198946,0.3964797819104104,0.4648018389923594
1881.0126930225,3424,0.5608955644219042,0.28473012223056404,0.2695785375320675,0.2995666612635985,0.38881741167594475,0.42220356530361924
2011.0987128274999,3423,0.46972171681890157,0.26620663451915105,0.2547496702547071,0.2920272244240087,0.3352725727548385,0.4075952927567546
2141.1847326325,3423,0.41177424279558866,0.2679591745347124,0.25189078072254123,0.290316528262989,0.31457330886206014,0.40119725422242075
2271.2707524375,2819,0.314319576971231,0.2777168388314262,0.2464265647552757,0.29084935336829326,0.310967191322216,0.40323081100904673
2401.3567722425,3412,0.3011659137909437,0.275314149955792,0.24296499000641691,0.2802340058550885,0.29603972180559796,0.4011509603310861
2531.4427920475,3838,0.27234989093850964,0.28124613260822157,0.23945181198950047,0.277443421720185,0.27641673029292185,0.3836482328951452
2661.5288118525,4230,0.20608730730617023,0.28978010862431625,0.25129021053336753,0.27170592062369026,0.2636550839579979,0.36884144185987205
2791.6148316575,4277,0.22963765788246435,0.286615735277105,0.22638532378516354,0.26629109885513097,0.2537730656043375,0.36987790466051723
2921.7008514625004,3637,0.23168338963348917,0.28637133211118687,0.2333296019214177,0.27645292220156303,0.2475376767421575,0.3834115063501709
3051.7868712675,2545,0.25289036202216114,0.28992175155866357,0.2357259308366738,0.26945043420627685,0.25777669181875257,0.4351015163076884
3181.8728910725004,2763,0.24447366282960548,0.2860775190712618,0.25461971011016843,0.26751529336558105,0.26100867440141373,0.3983724164145173
3311.9589108775,2521,0.2018204207296311,0.2857782056671152,0.24725204586438929,0.27512553933710865,0.25327747009874857,0.3707472865116213
3442.0449306825003,1694,0.20911453461044868,0.2679532777003443,0.2110549018719402,0.27083051146097137,0.24736840541803287,0.3626398455962943
3572.1309504875,1007,0.21611976919473685,0.2903635236600186,0.2252007748957542,0.2825467801437359,0.2127065381173936,0.31555414951546074
3702.2169702925003,689,0.2694256060984035,0.25783067064465215,0.26482889800182446,0.29057725347005403,0.26404997426124377,0.3029256413740759
3832.3029900975,855,0.2751610418167252,0.3006546397097627,0.26752864130407744,0.2939506711667044,0.22447801646781945,0.30091825127601624
